,product_name,old_price,new_prince,installment_prince,timestamp
0,Apple iPhone 16 Pro Max (1 TB) - Titânio-preto - Distribuidor Autorizado,17513,15499,1549,2024-11-13 20:48:51
1,Apple iPhone 16 Pro Max (1 TB) - Titânio-preto - Distribuidor Autorizado,17513,15499,1549,2024-11-13 20:49:01
2,Apple iPhone 16 Pro Max (1 TB) - Titânio-preto - Distribuidor Autorizado,17513,15499,1549,2024-11-13 20:49:12
